topic,alpha,word,weight
11,0.3333333333333333,紅,573
11,0.3333333333333333,羅,470
11,0.3333333333333333,歌,462
11,0.3333333333333333,笑,447
11,0.3333333333333333,舞,446
11,0.3333333333333333,玉,415
11,0.3333333333333333,蛾,345
11,0.3333333333333333,妝,345
11,0.3333333333333333,娥,327
11,0.3333333333333333,袖,325
11,0.3333333333333333,雙,324
11,0.3333333333333333,鏡,315
11,0.3333333333333333,含,301
11,0.3333333333333333,嬌,300
11,0.3333333333333333,翠,297
11,0.3333333333333333,粉,284
11,0.3333333333333333,花,279
11,0.3333333333333333,金,279
12,0.3333333333333333,聖,646
12,0.3333333333333333,壽,338
12,0.3333333333333333,瑞,335
12,0.3333333333333333,萬,335
12,0.3333333333333333,天,310
12,0.3333333333333333,氣,309
12,0.3333333333333333,樂,307
12,0.3333333333333333,九,306
12,0.3333333333333333,化,299
12,0.3333333333333333,皇,288
12,0.3333333333333333,文,280
12,0.3333333333333333,祥,275
12,0.3333333333333333,德,272
12,0.3333333333333333,神,250
12,0.3333333333333333,慶,244
12,0.3333333333333333,帝,243
12,0.3333333333333333,光,242
12,0.3333333333333333,恩,232
12,0.3333333333333333,澤,228
12,0.3333333333333333,和,221
13,0.3333333333333333,天,1115
13,0.3333333333333333,白,1087
13,0.3333333333333333,黃,834
13,0.3333333333333333,海,608
13,0.3333333333333333,漠,586
13,0.3333333333333333,長,537
13,0.3333333333333333,雲,537
13,0.3333333333333333,河,511
13,0.3333333333333333,上,461
13,0.3333333333333333,連,412
13,0.3333333333333333,飛,393
13,0.3333333333333333,橫,381
13,0.3333333333333333,下,380
13,0.3333333333333333,斗,379
13,0.3333333333333333,星,352
13,0.3333333333333333,大,339
13,0.3333333333333333,漢,338
13,0.3333333333333333,草,320
13,0.3333333333333333,風,276
13,0.3333333333333333,出,273
14,0.3333333333333333,雲,1728
14,0.3333333333333333,聞,1557
14,0.3333333333333333,君,1552
14,0.3333333333333333,分,1097
14,0.3333333333333333,紛,971
14,0.3333333333333333,群,901
14,0.3333333333333333,見,614
